paperId,title,abstract,year,authors,openAccessPdf,processed_text,pdf_url
4dc2617f15847af822d1f89c2e5cca39c8cdb7ad,Effect of a Machine Learning Recommender System and Viral Peer Marketing Intervention on Smoking Cessation,This randomized clinical trial investigates the effect of a machine learning recommender messaging system and viral peer recruitment tool kit on a smoking-cessation intervention.,2023,"[{'authorId': '39230104', 'name': 'Jamie M. Faro'}, {'authorId': '2144135133', 'name': 'Jinying Chen'}, {'authorId': '7329456', 'name': 'J. Flahive'}, {'authorId': '66898610', 'name': 'Catherine S. Nagawa'}, {'authorId': '19227131', 'name': 'E. Orvek'}, {'authorId': '2085692', 'name': 'T. Houston'}, {'authorId': '2067667039', 'name': 'Jeroan J Allison'}, {'authorId': '2074564881', 'name': 'Sharina D Person'}, {'authorId': '2149788742', 'name': 'Bridget M Smith'}, {'authorId': '9638357', 'name': 'A. Blok'}, {'authorId': '2297708', 'name': 'R. Sadasivam'}]","{'url': 'https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2800273/faro_2023_oi_221444_1672346528.6646.pdf', 'status': 'GOLD', 'license': 'CCBYNCND', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC9856644, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",effect of a machine learning recommender system and viral peer marketing intervention on smoking cessation,https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2800273/faro_2023_oi_221444_1672346528.6646.pdf
9778a564510da05080f978fcff23928ead0f1db9,A Machine Learning Recommender System to Tailor Preference Assessments to Enhance Person-Centered Care Among Nursing Home Residents,"Background and Objectives
Nursing homes (NHs) using the Preferences for Everyday Living Inventory (PELI-NH) to assess important preferences and provide person-centered care find the number of items (72) to be a barrier to using the assessment.


Research Design and Methods
Using a sample of n = 255 NH resident responses to the PELI-NH, we used the 16 preference items from the MDS 3.0 Section F to develop a machine learning recommender system to identify additional PELI-NH items that may be important to specific residents. Much like the Netflix recommender system, our system is based on the concept of collaborative filtering whereby insights and predictions (e.g., filters) are created using the interests and preferences of many users. The algorithm identifies multiple sets of ""you might also like"" patterns called association rules, based upon responses to the 16 MDS preferences that recommends an additional set of preferences with a high likelihood of being important to a specific resident.


Results
In the evaluation of the combined apriori and logistic regression approach, we obtained a high recall performance (i.e., the ratio of correctly predicted preferences compared with all predicted preferences and nonpreferences) and high precision (i.e., the ratio of correctly predicted rules with respect to the rules predicted to be true) of 80.2% and 79.2%, respectively.


Discussion and Implications
The recommender system successfully provides guidance on how to best tailor the preference items asked of residents and can support preference capture in busy clinical environments, contributing to the feasibility of delivering person-centered care.",2019,"[{'authorId': '2509884', 'name': 'G. Gannod'}, {'authorId': '40523263', 'name': 'K. Abbott'}, {'authorId': '4463282', 'name': 'K. Van Haitsma'}, {'authorId': '41154196', 'name': 'Nathan Martindale'}, {'authorId': '41154596', 'name': 'A. Heppner'}]","{'url': 'https://academic.oup.com/gerontologist/article-pdf/59/1/167/27456534/gny056.pdf', 'status': 'BRONZE', 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.1093/geront/gny056?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1093/geront/gny056, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","background and objectives nursing homes (nhs) using the preferences for everyday living inventory (peli-nh) to assess important preferences and provide person-centered care find the number of items (72) to be a barrier to using the assessment. research design and methods using a sample of n = 255 nh resident responses to the peli-nh, we used the 16 preference items from the mds 3.0 section f to develop a machine learning recommender system to identify additional peli-nh items that may be important to specific residents. much like the netflix recommender system, our system is based on the concept of collaborative filtering whereby insights and predictions (e.g., filters) are created using the interests and preferences of many users. the algorithm identifies multiple sets of ""you might also like"" patterns called association rules, based upon responses to the 16 mds preferences that recommends an additional set of preferences with a high likelihood of being important to a specific resident. results in the evaluation of the combined apriori and logistic regression approach, we obtained a high recall performance (i.e., the ratio of correctly predicted preferences compared with all predicted preferences and nonpreferences) and high precision (i.e., the ratio of correctly predicted rules with respect to the rules predicted to be true) of 80.2% and 79.2%, respectively. discussion and implications the recommender system successfully provides guidance on how to best tailor the preference items asked of residents and can support preference capture in busy clinical environments, contributing to the feasibility of delivering person-centered care.",https://academic.oup.com/gerontologist/article-pdf/59/1/167/27456534/gny056.pdf
6a8a21cab225a428c41e3f8c38e18535f68ffacf,A Machine Learning Recommender System Based on Collaborative Filtering Using Gaussian Mixture Model Clustering,"Changing and moving toward online shopping has made it necessary to
customize customers’ needs and provide them more selective options. The
buyers search the products’ features before deciding to purchase items.
The recommender systems facilitate the searching task for customers via
narrowing down the search space within the specific products that align
the customer needs. Clustering, as a typical machine learning approach,
is applied in recommender systems. As an information filtering method, a
recommender system clusters user’s data to indicate the required factors
for more accurate predictions by calculating the similarity between
members of a cluster. In this study, using the Gaussian mixture model
clustering and considering the scores distance and the value of scores
in the Pearson correlation coefficient, a new method is introduced for
predicting scores in machine learning recommender systems. To study the
proposed method’s performance, a Movie Lens data set is evaluated, and
the results are compared to some other recommender systems, including
the Pearson correlation coefficients similarity criteria, K-means, and
fuzzy C-means algorithms. The simulation results indicate that our
method has less error than others by increasing the number of neighbors.
The results also illustrate that when the number of users increases, the
proposed method’s accuracy will increase. The reason is that the
Gaussian mixture clustering chooses similar users and considers the
scores distance in choosing similar neighbors to the active user.",2020,"[{'authorId': '2172517066', 'name': 'Delshad Mohammad Shakoor'}, {'authorId': '1905450', 'name': 'Vafa Maihami'}, {'authorId': '2438471', 'name': 'R. Maihami'}]","{'url': 'https://doi.org/10.22541/au.160897179.93005705/v1', 'status': 'GREEN', 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.22541/au.160897179.93005705/v1?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.22541/au.160897179.93005705/v1, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","changing and moving toward online shopping has made it necessary to customize customers’ needs and provide them more selective options. the buyers search the products’ features before deciding to purchase items. the recommender systems facilitate the searching task for customers via narrowing down the search space within the specific products that align the customer needs. clustering, as a typical machine learning approach, is applied in recommender systems. as an information filtering method, a recommender system clusters user’s data to indicate the required factors for more accurate predictions by calculating the similarity between members of a cluster. in this study, using the gaussian mixture model clustering and considering the scores distance and the value of scores in the pearson correlation coefficient, a new method is introduced for predicting scores in machine learning recommender systems. to study the proposed method’s performance, a movie lens data set is evaluated, and the results are compared to some other recommender systems, including the pearson correlation coefficients similarity criteria, k-means, and fuzzy c-means algorithms. the simulation results indicate that our method has less error than others by increasing the number of neighbors. the results also illustrate that when the number of users increases, the proposed method’s accuracy will increase. the reason is that the gaussian mixture clustering chooses similar users and considers the scores distance in choosing similar neighbors to the active user.",https://doi.org/10.22541/au.160897179.93005705/v1
fc88d1692a0f53f2821499fa8b8f4d049775585f,Matrix Factorization Collaborative-Based Recommender System for Riyadh Restaurants: Leveraging Machine Learning to Enhance Consumer Choice,"Saudi Arabia’s tourism sector has recently started to play a significant role as an economic driver. The restaurant industry in Riyadh has experienced rapid growth in recent years, making it increasingly challenging for customers to choose from the large number of restaurants available. This paper proposes a matrix factorization collaborative-based recommender system for Riyadh city restaurants. The system leverages user reviews and ratings to predict users’ preferences and recommend restaurants likely to be of interest to them. The system incorporates three different approaches, namely, non-negative matrix factorization (NMF), singular value decomposition (SVD), and optimized singular value decomposition (SVD++). To the best of our knowledge, this is the first recommender system specifically designed for Riyadh restaurants. A comprehensive dataset of restaurants in Riyadh was collected, scraped from Foursquare.com, which includes a wide range of restaurant features and attributes. The dataset is publicly available, enabling other researchers to replicate the experiments and build upon the work. The performance of the system was evaluated using a real-world dataset, and its effectiveness was demonstrated by comparing it to a state-of-the-art recommender system. The evaluation results showed that SVD and NMF are effective methods for generating recommendations, with SVD performing slightly better in terms of RMSE and NMF performing slightly better in terms of MAE. Overall, the findings suggest that the collaborative-based approach using matrix factorization algorithms is an effective way to capture the complex relationships between users and restaurants.",2023,"[{'authorId': '2787898', 'name': 'Reham Alabduljabbar'}]","{'url': 'https://www.mdpi.com/2076-3417/13/17/9574/pdf?version=1692870311', 'status': 'GOLD', 'license': 'CCBY', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.3390/app13179574?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.3390/app13179574, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","saudi arabia’s tourism sector has recently started to play a significant role as an economic driver. the restaurant industry in riyadh has experienced rapid growth in recent years, making it increasingly challenging for customers to choose from the large number of restaurants available. this paper proposes a matrix factorization collaborative-based recommender system for riyadh city restaurants. the system leverages user reviews and ratings to predict users’ preferences and recommend restaurants likely to be of interest to them. the system incorporates three different approaches, namely, non-negative matrix factorization (nmf), singular value decomposition (svd), and optimized singular value decomposition (svd++). to the best of our knowledge, this is the first recommender system specifically designed for riyadh restaurants. a comprehensive dataset of restaurants in riyadh was collected, scraped from foursquare.com, which includes a wide range of restaurant features and attributes. the dataset is publicly available, enabling other researchers to replicate the experiments and build upon the work. the performance of the system was evaluated using a real-world dataset, and its effectiveness was demonstrated by comparing it to a state-of-the-art recommender system. the evaluation results showed that svd and nmf are effective methods for generating recommendations, with svd performing slightly better in terms of rmse and nmf performing slightly better in terms of mae. overall, the findings suggest that the collaborative-based approach using matrix factorization algorithms is an effective way to capture the complex relationships between users and restaurants.",https://www.mdpi.com/2076-3417/13/17/9574/pdf?version=1692870311
9998dc44714a0721caa671243391c1ed5ecfa222,Smart Crop Recommender System-A Machine Learning Approach,"Machine learning has proven its efficacy in solving agricultural problems in the recent years such as crop recommendation, crop yield prediction, and many such. With the advancement in the sub-domain of machine learning i.e., deep learning, multiple problems are minutely solved in agricultural sector. This paper focuses on recommending 22 types of crops with the aid of correlation analysis, distribution analysis, ensembling, and majority voting. A three-tiered framework is proposed in order to implement the crop recommendation problem. It includes data preprocessing, classification, and performance evaluation modules. The feature analysis is done through correlation plots and density distribution followed by classification using ensembling techniques. Finally, performance evaluation is performed using majority voting technique. This article further uses ensembling with base learners i.e., decision trees, random forest, Naïve Bayes, and support vector machines using majority voting. Further, majority voting is used to decide the final performance metrics. The practical visualization of the correlation plot, density-histogram distribution plots, confusion matrices, and performance plot are presented. The accuracy achieved post implementation is 99.54& by using Naïve Bayes classifier. The majority voting ensembler has not shown much accuracy i.e., 98.52&. Thus, Naïve Bayes classifier is proved to be the best fit for this problem statement. Some challenges and future research directions are also epitomized in this article.",2022,"[{'authorId': '90015202', 'name': 'R. K. Ray'}, {'authorId': '1720951783', 'name': 'Saneev Kumar Das'}, {'authorId': '1825671308', 'name': 'S. Chakravarty'}]","{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.1109/Confluence52989.2022.9734173?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/Confluence52989.2022.9734173, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","machine learning has proven its efficacy in solving agricultural problems in the recent years such as crop recommendation, crop yield prediction, and many such. with the advancement in the sub-domain of machine learning i.e., deep learning, multiple problems are minutely solved in agricultural sector. this paper focuses on recommending 22 types of crops with the aid of correlation analysis, distribution analysis, ensembling, and majority voting. a three-tiered framework is proposed in order to implement the crop recommendation problem. it includes data preprocessing, classification, and performance evaluation modules. the feature analysis is done through correlation plots and density distribution followed by classification using ensembling techniques. finally, performance evaluation is performed using majority voting technique. this article further uses ensembling with base learners i.e., decision trees, random forest, naïve bayes, and support vector machines using majority voting. further, majority voting is used to decide the final performance metrics. the practical visualization of the correlation plot, density-histogram distribution plots, confusion matrices, and performance plot are presented. the accuracy achieved post implementation is 99.54& by using naïve bayes classifier. the majority voting ensembler has not shown much accuracy i.e., 98.52&. thus, naïve bayes classifier is proved to be the best fit for this problem statement. some challenges and future research directions are also epitomized in this article.",
f2e5aafc4d9d479ec48ba159ceb0749a9643f3cc,Crop Recommender System Using Machine Learning Approach,"Agriculture and its allied sectors are undoubtedly the largest providers of livelihoods in rural India. The agriculture sector is also a significant contributor factor to the country’s Gross Domestic Product (GDP). Blessing to the country is the overwhelming size of the agricultural sector. However, regrettable is the yield per hectare of crops in comparison to international standards. This is one of the possible causes for a higher suicide rate among marginal farmers in India. This paper proposes a viable and user-friendly yield prediction system for the farmers. The proposed system provides connectivity to farmers via a mobile application. GPS helps to identify the user location. The user provides the area & soil type as input. Machine learning algorithms allow choosing the most profitable crop list or predicting the crop yield for a user-selected crop. To predict the crop yield, selected Machine Learning algorithms such as Support Vector Machine (SVM), Artificial Neural Network (ANN), Random Forest (RF), Multivariate Linear Regression (MLR), and K-Nearest Neighbour (KNN) are used. Among them, the Random Forest showed the best results with 95% accuracy. Additionally, the system also suggests the best time to use the fertilizers to boost up the yield.",2021,"[{'authorId': '2004796561', 'name': 'S. Pande'}, {'authorId': '2005323891', 'name': 'Prem Kumar Ramesh'}, {'authorId': '2246927238', 'name': 'Anmol Anmol'}, {'authorId': '2310088601', 'name': 'B. R. Aishwarya'}, {'authorId': '2089477183', 'name': 'Karuna Rohilla'}, {'authorId': '83232609', 'name': 'Kumar Shaurya'}]","{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.1109/ICCMC51019.2021.9418351?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ICCMC51019.2021.9418351, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","agriculture and its allied sectors are undoubtedly the largest providers of livelihoods in rural india. the agriculture sector is also a significant contributor factor to the country’s gross domestic product (gdp). blessing to the country is the overwhelming size of the agricultural sector. however, regrettable is the yield per hectare of crops in comparison to international standards. this is one of the possible causes for a higher suicide rate among marginal farmers in india. this paper proposes a viable and user-friendly yield prediction system for the farmers. the proposed system provides connectivity to farmers via a mobile application. gps helps to identify the user location. the user provides the area & soil type as input. machine learning algorithms allow choosing the most profitable crop list or predicting the crop yield for a user-selected crop. to predict the crop yield, selected machine learning algorithms such as support vector machine (svm), artificial neural network (ann), random forest (rf), multivariate linear regression (mlr), and k-nearest neighbour (knn) are used. among them, the random forest showed the best results with 95% accuracy. additionally, the system also suggests the best time to use the fertilizers to boost up the yield.",
646cd9d8aefc610e73258bcab7371ee2293bfed5,Using LinkedIn Endorsements to Reinforce an Ontology and Machine Learning-Based Recommender System to Improve Professional Skills,"Nowadays, social networks have become highly relevant in the professional field, in terms of the possibility of sharing profiles, skills and jobs. LinkedIn has become the social network par excellence, owing to its content in professional and training information and where there are also endorsements, which are validations of the skills of users that can be taken into account in the recruitment process, as well as in the recommender system. In order to determine how endorsements influence Lifelong Learning course recommendations for professional skills development and enhancement, a new version of our Lifelong Learning course recommendation system is proposed. The recommender system is based on ontology, which allows modelling the data of knowledge areas and job performance sectors to represent professional skills of users obtained from social networks. Machine learning techniques are applied to group entities in the ontology and make predictions of new data. The recommender system has a semantic core, content-based filtering, and heuristics to perform the formative suggestion. In order to validate the data model and test the recommender system, information was obtained from web-based lifelong learning courses and information was collected from LinkedIn professional profiles, incorporating the skills endorsements into the user profile. All possible settings of the system were tested. The best result was obtained in the setting based on the spatial clustering algorithm based on the density of noisy applications. An accuracy of 94% and 80% recall was obtained.",2022,"[{'authorId': '2129176248', 'name': 'María Cora Urdaneta-Ponte'}, {'authorId': '1409467565', 'name': 'Ibon Oleagordia-Ruíz'}, {'authorId': '1402098961', 'name': 'A. Méndez-Zorrilla'}]","{'url': 'https://www.mdpi.com/2079-9292/11/8/1190/pdf?version=1649673673', 'status': 'GOLD', 'license': 'CCBY', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.3390/electronics11081190?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.3390/electronics11081190, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","nowadays, social networks have become highly relevant in the professional field, in terms of the possibility of sharing profiles, skills and jobs. linkedin has become the social network par excellence, owing to its content in professional and training information and where there are also endorsements, which are validations of the skills of users that can be taken into account in the recruitment process, as well as in the recommender system. in order to determine how endorsements influence lifelong learning course recommendations for professional skills development and enhancement, a new version of our lifelong learning course recommendation system is proposed. the recommender system is based on ontology, which allows modelling the data of knowledge areas and job performance sectors to represent professional skills of users obtained from social networks. machine learning techniques are applied to group entities in the ontology and make predictions of new data. the recommender system has a semantic core, content-based filtering, and heuristics to perform the formative suggestion. in order to validate the data model and test the recommender system, information was obtained from web-based lifelong learning courses and information was collected from linkedin professional profiles, incorporating the skills endorsements into the user profile. all possible settings of the system were tested. the best result was obtained in the setting based on the spatial clustering algorithm based on the density of noisy applications. an accuracy of 94% and 80% recall was obtained.",https://www.mdpi.com/2079-9292/11/8/1190/pdf?version=1649673673
7edec896d2fdd465366c0d1c121f704799424129,E-Learning Recommender System for Learners: A Machine Learning based Approach,"Web mining procedure helps the surfers to get the required information but finding the exact information is as good as finding a needle in a haystack. In this work, an intelligent prediction model using Tensor Flow environment for Graphics Processing Unit (GPU) devices has been designed to meet the challenges of speed and accuracy. The proposed approach is isolated into two stages: pre-processing and prediction. In the first phase, the procedure starts via looking through the URLs of various e-learning sites particular to computer science subjects. At that point, the content of looked through URLs are perused and after that from their keywords are produced identified with a particular subject in the wake of playing out the pre-processing of the content. Second phase is prediction that predicts query specific links of e-learning website. The proposed Intelligent E-learning through Web (IEW) has content mining, lexical analysis, classification and machine learning based prediction as its key features. Algorithms like SVM, Naïve Bayes, K-Nearest Neighbor, and Random Forest were tested and it was found that Random Forest gave an accuracy of 98.98%, SVM 42%, KNN 63% and Naïve Bayes 66%. Based on the results IEW uses Random forest for prediction.",2019,"[{'authorId': '152728429', 'name': 'Kamika Chaudhary'}, {'authorId': '145370046', 'name': 'Neena Gupta'}]","{'url': 'https://doi.org/10.33889/ijmems.2019.4.4-076', 'status': 'GOLD', 'license': 'CCBY', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.33889/IJMEMS.2019.4.4-076?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.33889/IJMEMS.2019.4.4-076, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","web mining procedure helps the surfers to get the required information but finding the exact information is as good as finding a needle in a haystack. in this work, an intelligent prediction model using tensor flow environment for graphics processing unit (gpu) devices has been designed to meet the challenges of speed and accuracy. the proposed approach is isolated into two stages: pre-processing and prediction. in the first phase, the procedure starts via looking through the urls of various e-learning sites particular to computer science subjects. at that point, the content of looked through urls are perused and after that from their keywords are produced identified with a particular subject in the wake of playing out the pre-processing of the content. second phase is prediction that predicts query specific links of e-learning website. the proposed intelligent e-learning through web (iew) has content mining, lexical analysis, classification and machine learning based prediction as its key features. algorithms like svm, naïve bayes, k-nearest neighbor, and random forest were tested and it was found that random forest gave an accuracy of 98.98%, svm 42%, knn 63% and naïve bayes 66%. based on the results iew uses random forest for prediction.",https://doi.org/10.33889/ijmems.2019.4.4-076
6ea5796868aa574370e0064c1cbee9a4e8af9f03,Recommender system for health care analysis using machine learning technique: a review,"Abstract Recommender systems use different techniques of machine learning (ML) to suggest users and recommend service or entity in various field of application such as in health care recommender system (HRS). Due to the vast count of algorithms shown in the literature, HRS and various application sectors are now utilizing ML algorithms from the area of artificial intelligence. However, selecting an appropriate ML algorithm in the case of a health recommender system seems to be a time-consuming task. However the development of recommender system in different service domain faces problems of algorithms selection for better accuracy. This article examined the usage of ML techniques in recommender systems for health applications through a survey of the literature. The objectives of this article are (i) recognize the literature review finding of recommender system in health applications using ML and deep learning algorithms. (ii) Assist new researchers with the help of gap in previous research. The results of this study is to proposed new recommender system in health application of mosquito borne disease by using hybrid approach of ML technique.",2022,"[{'authorId': '2163423815', 'name': 'Salim G. Shaikh'}, {'authorId': '2136226819', 'name': 'B. Suresh Kumar'}, {'authorId': '3316574', 'name': 'Geetika Narang'}]","{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.1080/1463922X.2022.2061078?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1080/1463922X.2022.2061078, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","abstract recommender systems use different techniques of machine learning (ml) to suggest users and recommend service or entity in various field of application such as in health care recommender system (hrs). due to the vast count of algorithms shown in the literature, hrs and various application sectors are now utilizing ml algorithms from the area of artificial intelligence. however, selecting an appropriate ml algorithm in the case of a health recommender system seems to be a time-consuming task. however the development of recommender system in different service domain faces problems of algorithms selection for better accuracy. this article examined the usage of ml techniques in recommender systems for health applications through a survey of the literature. the objectives of this article are (i) recognize the literature review finding of recommender system in health applications using ml and deep learning algorithms. (ii) assist new researchers with the help of gap in previous research. the results of this study is to proposed new recommender system in health application of mosquito borne disease by using hybrid approach of ml technique.",
d28b89d803928023a4fe7720e89d17c18c15a393,A Machine Learning-based Course Enrollment Recommender System,": As an integral component of human society, higher education has been undergoing a transformation in multiple aspects, such as administrative reorganization, pedagogical reform, and technological innovation. To line up with the latest trends, many institutions constantly update their curriculum, which poses challenges to students and their advisors. This paper proposes a machine learning-based course enrollment recommender system that aims to make personalized suggestions to students who expect to take classes in the upcoming semester. Using matrix factorization as the core algorithm, the model exploits several available types of information, including student course enrollment history and other contextual features, such as prerequisite restrictions, course meeting times, instructional methods, and course instructors. The system not only helps students but also facilitates their advisors’ work. Our experimental results show that the recommended courses were highly relevant while providing plenty of options to students.",2022,"[{'authorId': '2108197727', 'name': 'Xiwei Wang'}, {'authorId': '1738724485', 'name': 'Longyin Cui'}, {'authorId': '2164598982', 'name': 'Muhammad Bangash'}, {'authorId': '2120355905', 'name': 'M. Bilal'}, {'authorId': '2164599124', 'name': 'Luis Rosales'}, {'authorId': '2164592765', 'name': 'Wali Chaudhry'}]","{'url': 'https://doi.org/10.5220/0011109100003182', 'status': 'HYBRID', 'license': 'CCBYNCND', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.5220/0011109100003182?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.5220/0011109100003182, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",": as an integral component of human society, higher education has been undergoing a transformation in multiple aspects, such as administrative reorganization, pedagogical reform, and technological innovation. to line up with the latest trends, many institutions constantly update their curriculum, which poses challenges to students and their advisors. this paper proposes a machine learning-based course enrollment recommender system that aims to make personalized suggestions to students who expect to take classes in the upcoming semester. using matrix factorization as the core algorithm, the model exploits several available types of information, including student course enrollment history and other contextual features, such as prerequisite restrictions, course meeting times, instructional methods, and course instructors. the system not only helps students but also facilitates their advisors’ work. our experimental results show that the recommended courses were highly relevant while providing plenty of options to students.",https://doi.org/10.5220/0011109100003182
