paperId,title,abstract,year,openAccessPdf,authors;;;;;;
"4dc2617f15847af822d1f89c2e5cca39c8cdb7ad,Effect of a Machine Learning Recommender System and Viral Peer Marketing Intervention on Smoking Cessation,This randomized clinical trial investigates the effect of a machine learning recommender messaging system and viral peer recruitment tool kit on a smoking-cessation intervention.,2023,""{'url': 'https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2800273/faro_2023_oi_221444_1672346528.6646.pdf', 'status': 'GOLD', 'license': 'CCBYNCND', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC9856644, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}"",""[{'authorId': '39230104', 'name': 'Jamie M. Faro'}, {'authorId': '2144135133', 'name': 'Jinying Chen'}, {'authorId': '7329456', 'name': 'J. Flahive'}, {'authorId': '66898610', 'name': 'Catherine S. Nagawa'}, {'authorId': '19227131', 'name': 'E. Orvek'}, {'authorId': '2085692', 'name': 'T. Houston'}, {'authorId': '2067667039', 'name': 'Jeroan J Allison'}, {'authorId': '2074564881', 'name': 'Sharina D Person'}, {'authorId': '2149788742', 'name': 'Bridget M Smith'}, {'authorId': '9638357', 'name': 'A. Blok'}, {'authorId': '2297708', 'name': 'R. Sadasivam'}]""";;;;;;
"9778a564510da05080f978fcff23928ead0f1db9,A Machine Learning Recommender System to Tailor Preference Assessments to Enhance Person-Centered Care Among Nursing Home Residents,""Background and Objectives";;;;;;
Nursing homes (NHs) using the Preferences for Everyday Living Inventory (PELI-NH) to assess important preferences and provide person-centered care find the number of items (72) to be a barrier to using the assessment.;;;;;;
;;;;;;
;;;;;;
Research Design and Methods;;;;;;
"Using a sample of n = 255 NH resident responses to the PELI-NH, we used the 16 preference items from the MDS 3.0 Section F to develop a machine learning recommender system to identify additional PELI-NH items that may be important to specific residents. Much like the Netflix recommender system, our system is based on the concept of collaborative filtering whereby insights and predictions (e.g., filters) are created using the interests and preferences of many users. The algorithm identifies multiple sets of """"you might also like"""" patterns called association rules, based upon responses to the 16 MDS preferences that recommends an additional set of preferences with a high likelihood of being important to a specific resident.";;;;;;
;;;;;;
;;;;;;
Results;;;;;;
In the evaluation of the combined apriori and logistic regression approach, we obtained a high recall performance (i.e., the ratio of correctly predicted preferences compared with all predicted preferences and nonpreferences) and high precision (i.e., the ratio of correctly predicted rules with respect to the rules predicted to be true) of 80.2% and 79.2%, respectively.;;;;;;
;;;;;;
;;;;;;
Discussion and Implications;;;;;;
"The recommender system successfully provides guidance on how to best tailor the preference items asked of residents and can support preference capture in busy clinical environments, contributing to the feasibility of delivering person-centered care."",2019,""{'url': 'https://academic.oup.com/gerontologist/article-pdf/59/1/167/27456534/gny056.pdf', 'status': 'BRONZE', 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.1093/geront/gny056?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1093/geront/gny056, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}"",""[{'authorId': '2509884', 'name': 'G. Gannod'}, {'authorId': '40523263', 'name': 'K. Abbott'}, {'authorId': '4463282', 'name': 'K. Van Haitsma'}, {'authorId': '41154196', 'name': 'Nathan Martindale'}, {'authorId': '41154596', 'name': 'A. Heppner'}]""";;;;;;
"6a8a21cab225a428c41e3f8c38e18535f68ffacf,A Machine Learning Recommender System Based on Collaborative Filtering Using Gaussian Mixture Model Clustering,""Changing and moving toward online shopping has made it necessary to";;;;;;
customize customers’ needs and provide them more selective options. The;;;;;;
buyers search the products’ features before deciding to purchase items.;;;;;;
The recommender systems facilitate the searching task for customers via;;;;;;
narrowing down the search space within the specific products that align;;;;;;
the customer needs. Clustering, as a typical machine learning approach,;;;;;;
is applied in recommender systems. As an information filtering method, a;;;;;;
recommender system clusters user’s data to indicate the required factors;;;;;;
for more accurate predictions by calculating the similarity between;;;;;;
members of a cluster. In this study, using the Gaussian mixture model;;;;;;
clustering and considering the scores distance and the value of scores;;;;;;
in the Pearson correlation coefficient, a new method is introduced for;;;;;;
predicting scores in machine learning recommender systems. To study the;;;;;;
proposed method’s performance, a Movie Lens data set is evaluated, and;;;;;;
the results are compared to some other recommender systems, including;;;;;;
the Pearson correlation coefficients similarity criteria, K-means, and;;;;;;
fuzzy C-means algorithms. The simulation results indicate that our;;;;;;
method has less error than others by increasing the number of neighbors.;;;;;;
The results also illustrate that when the number of users increases, the;;;;;;
proposed method’s accuracy will increase. The reason is that the;;;;;;
Gaussian mixture clustering chooses similar users and considers the;;;;;;
"scores distance in choosing similar neighbors to the active user."",2020,""{'url': 'https://doi.org/10.22541/au.160897179.93005705/v1', 'status': 'GREEN', 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.22541/au.160897179.93005705/v1?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.22541/au.160897179.93005705/v1, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}"",""[{'authorId': '2172517066', 'name': 'Delshad Mohammad Shakoor'}, {'authorId': '1905450', 'name': 'Vafa Maihami'}, {'authorId': '2438471', 'name': 'R. Maihami'}]""";;;;;;
"fc88d1692a0f53f2821499fa8b8f4d049775585f,Matrix Factorization Collaborative-Based Recommender System for Riyadh Restaurants: Leveraging Machine Learning to Enhance Consumer Choice,""Saudi Arabia’s tourism sector has recently started to play a significant role as an economic driver. The restaurant industry in Riyadh has experienced rapid growth in recent years, making it increasingly challenging for customers to choose from the large number of restaurants available. This paper proposes a matrix factorization collaborative-based recommender system for Riyadh city restaurants. The system leverages user reviews and ratings to predict users’ preferences and recommend restaurants likely to be of interest to them. The system incorporates three different approaches, namely, non-negative matrix factorization (NMF), singular value decomposition (SVD), and optimized singular value decomposition (SVD++). To the best of our knowledge, this is the first recommender system specifically designed for Riyadh restaurants. A comprehensive dataset of restaurants in Riyadh was collected, scraped from Foursquare.com, which includes a wide range of restaurant features and attributes. The dataset is publicly available, enabling other researchers to replicate the experiments and build upon the work. The performance of the system was evaluated using a real-world dataset, and its effectiveness was demonstrated by comparing it to a state-of-the-art recommender system. The evaluation results showed that SVD and NMF are effective methods for generating recommendations, with SVD performing slightly better in terms of RMSE and NMF performing slightly better in terms of MAE. Overall, the findings suggest that the collaborative-based approach using matrix factorization algorithms is an effective way to capture the complex relationships between users and restaurants."",2023,""{'url': 'https://www.mdpi.com/2076-3417/13/17/9574/pdf?version=1692870311', 'status': 'GOLD', 'license': 'CCBY', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.3390/app13179574?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.3390/app13179574, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}"",""[{'authorId': '2787898', 'name': 'Reham Alabduljabbar'}]""";;;;;;
"9998dc44714a0721caa671243391c1ed5ecfa222,Smart Crop Recommender System-A Machine Learning Approach,""Machine learning has proven its efficacy in solving agricultural problems in the recent years such as crop recommendation, crop yield prediction, and many such. With the advancement in the sub-domain of machine learning i.e., deep learning, multiple problems are minutely solved in agricultural sector. This paper focuses on recommending 22 types of crops with the aid of correlation analysis, distribution analysis, ensembling, and majority voting. A three-tiered framework is proposed in order to implement the crop recommendation problem. It includes data preprocessing, classification, and performance evaluation modules. The feature analysis is done through correlation plots and density distribution followed by classification using ensembling techniques. Finally, performance evaluation is performed using majority voting technique. This article further uses ensembling with base learners i.e., decision trees, random forest, Naïve Bayes, and support vector machines using majority voting. Further, majority voting is used to decide the final performance metrics. The practical visualization of the correlation plot, density-histogram distribution plots, confusion matrices, and performance plot are presented. The accuracy achieved post implementation is 99.54& by using Naïve Bayes classifier. The majority voting ensembler has not shown much accuracy i.e., 98.52&. Thus, Naïve Bayes classifier is proved to be the best fit for this problem statement. Some challenges and future research directions are also epitomized in this article."",2022,""{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.1109/Confluence52989.2022.9734173?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/Confluence52989.2022.9734173, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}"",""[{'authorId': '90015202', 'name': 'R. K. Ray'}, {'authorId': '1720951783', 'name': 'Saneev Kumar Das'}, {'authorId': '1825671308', 'name': 'S. Chakravarty'}]""";;;;;;
